kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 914 7386 0 0 0 0 0 0 0 
_1.ptx 98 : 914 0 0 0 0 0 0 0 0 
_1.ptx 99 : 914 2899 0 0 0 0 0 0 0 
_1.ptx 100 : 914 6461 0 0 0 0 0 0 0 
_1.ptx 101 : 914 10042 0 0 0 0 0 0 0 
_1.ptx 102 : 914 10071 0 0 0 0 0 0 0 
_1.ptx 106 : 5730 285431 24704 0 0 4908 2501 0 0 
_1.ptx 107 : 5730 40451 0 0 0 0 0 0 0 
_1.ptx 109 : 5730 20121 0 0 0 0 0 0 0 
_1.ptx 111 : 5730 63225 0 0 0 0 0 0 0 
_1.ptx 112 : 5730 729823 3840 0 0 5675 2501 0 0 
_1.ptx 113 : 5730 34568 0 0 0 0 0 0 0 
_1.ptx 114 : 5730 46126 0 0 0 0 0 0 0 
_1.ptx 115 : 5730 34597 0 0 0 0 0 0 0 
_1.ptx 116 : 5730 46141 0 0 0 0 0 0 0 
_1.ptx 117 : 5730 9066 0 0 0 0 0 0 729 
_1.ptx 118 : 4234 11321 0 0 0 0 0 0 620 
_1.ptx 120 : 2364 16736 0 0 0 0 0 0 0 
_1.ptx 121 : 2364 16735 0 0 0 0 0 0 0 
_1.ptx 122 : 2364 26153 0 0 0 0 0 0 0 
_1.ptx 124 : 2364 14367 0 0 0 0 0 0 0 
_1.ptx 125 : 2364 14863 0 0 0 2356 1543 0 0 
_1.ptx 127 : 2364 14296 0 0 0 0 0 0 0 
_1.ptx 128 : 2364 10327 0 0 0 0 0 0 0 
_1.ptx 129 : 2364 13542 32 0 0 1543 1543 0 0 
_1.ptx 130 : 2364 13087 0 0 0 1885 1543 0 0 
_1.ptx 131 : 2364 13673 0 0 0 1885 1543 0 0 
_1.ptx 132 : 2364 26147 0 0 0 0 0 0 0 
_1.ptx 133 : 2364 14316 0 0 0 0 0 0 0 
_1.ptx 137 : 3366 16277 0 0 0 0 0 0 178 
_1.ptx 139 : 673 2187 0 0 0 0 0 0 0 
_1.ptx 140 : 673 6776 0 0 0 0 0 0 0 
_1.ptx 141 : 673 7451 0 0 0 0 0 0 0 
_1.ptx 142 : 673 52598 1024 0 0 595 595 0 0 
_1.ptx 143 : 673 6765 0 0 0 0 0 0 0 
_1.ptx 144 : 673 6776 0 0 0 0 0 0 0 
_1.ptx 145 : 673 7440 0 0 0 0 0 0 0 
_1.ptx 146 : 673 3697 768 0 0 672 595 0 0 
_1.ptx 148 : 673 4053 0 0 0 0 0 0 0 
_1.ptx 150 : 673 2474 0 0 0 0 0 0 0 
_1.ptx 152 : 673 7428 0 0 0 0 0 0 0 
_1.ptx 153 : 673 3752 0 0 0 672 595 0 0 
_1.ptx 155 : 673 4068 0 0 0 0 0 0 0 
_1.ptx 156 : 673 2549 0 0 0 0 0 0 0 
_1.ptx 157 : 673 3528 0 0 0 595 595 0 0 
_1.ptx 158 : 673 4233 0 0 0 634 595 0 0 
_1.ptx 159 : 673 4295 0 0 0 634 595 0 0 
_1.ptx 160 : 673 7443 0 0 0 0 0 0 0 
_1.ptx 66 : 69632 418240 0 0 0 0 0 0 0 
_1.ptx 164 : 5730 57617 0 0 0 0 0 0 0 
_1.ptx 67 : 69632 927264 0 0 0 0 0 0 0 
_1.ptx 165 : 5730 57643 0 0 0 0 0 0 0 
_1.ptx 68 : 69632 423904 0 0 0 0 0 0 0 
_1.ptx 166 : 5730 46130 0 0 0 0 0 0 0 
_1.ptx 69 : 69632 771232 0 0 0 0 0 0 0 
_1.ptx 167 : 5730 29145 0 0 0 0 0 0 443 
_1.ptx 70 : 69632 707200 0 0 0 0 0 0 0 
_1.ptx 71 : 69632 1269952 128 0 0 0 0 0 0 
_1.ptx 72 : 69632 564320 0 0 0 0 0 0 0 
_1.ptx 73 : 69632 323136 0 0 0 0 0 0 0 
_1.ptx 171 : 69632 422464 0 0 0 0 0 0 0 
_1.ptx 74 : 17408 128256 0 0 0 0 0 0 0 
_1.ptx 75 : 17408 52320 0 0 0 0 0 0 0 
_1.ptx 76 : 17408 194592 0 0 0 0 0 0 0 
_1.ptx 77 : 17408 2558208 1024 0 0 544 544 0 0 
_1.ptx 78 : 17408 105312 0 0 0 0 0 0 0 
_1.ptx 79 : 17408 141280 0 0 0 0 0 0 0 
_1.ptx 80 : 17408 100549 0 0 0 0 0 0 318 
_1.ptx 82 : 914 5764 0 0 0 0 0 0 0 
_1.ptx 83 : 914 4657 0 0 0 318 318 0 0 
_1.ptx 85 : 914 3116 0 0 0 0 0 0 0 
_1.ptx 86 : 914 5558 0 0 0 0 0 0 0 
_1.ptx 87 : 914 10257 0 0 0 0 0 0 0 
_1.ptx 88 : 914 4776 64 0 0 318 318 0 0 
_1.ptx 90 : 914 3123 0 0 0 0 0 0 0 
_1.ptx 91 : 914 9387 0 0 0 0 0 0 0 
_1.ptx 92 : 914 10132 0 0 0 0 0 0 0 
_1.ptx 93 : 914 180293 8192 0 0 485 318 0 0 
_1.ptx 94 : 914 6516 0 0 0 0 0 0 0 
_1.ptx 95 : 914 4581 0 0 0 485 318 0 0 
_1.ptx 96 : 914 10093 0 0 0 0 0 0 0 
