kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 98 : 4096 15123 0 0 0 0 0 0 0 
_1.ptx 99 : 4096 28866 0 0 0 0 0 0 0 
_1.ptx 100 : 4096 41265 0 0 0 0 0 0 0 
_1.ptx 101 : 4096 45079 0 0 0 0 0 0 0 
_1.ptx 105 : 24576 3218877 98304 0 0 14768 4670 0 0 
_1.ptx 106 : 24576 173490 0 0 0 0 0 0 0 
_1.ptx 108 : 24576 365589 0 0 0 0 0 0 0 
_1.ptx 110 : 24576 271053 0 0 0 0 0 0 0 
_1.ptx 111 : 24576 3246705 3968 0 0 23723 4670 0 0 
_1.ptx 112 : 24576 148601 0 0 0 0 0 0 0 
_1.ptx 113 : 24576 197568 0 0 0 0 0 0 0 
_1.ptx 114 : 24576 102285 0 0 0 0 0 0 1950 
_1.ptx 116 : 7692 92956 0 0 0 0 0 0 0 
_1.ptx 117 : 7692 78091 0 0 0 0 0 0 0 
_1.ptx 118 : 7692 84900 0 0 0 0 0 0 0 
_1.ptx 119 : 7692 650505 128 0 0 3143 3143 0 0 
_1.ptx 120 : 7692 77555 0 0 0 0 0 0 0 
_1.ptx 121 : 7692 77769 0 0 0 0 0 0 0 
_1.ptx 122 : 7692 84914 0 0 0 0 0 0 0 
_1.ptx 123 : 7692 231763 4416 0 0 7602 3143 0 0 
_1.ptx 125 : 7692 46514 0 0 0 0 0 0 0 
_1.ptx 127 : 7692 194282 0 0 0 0 0 0 0 
_1.ptx 129 : 7692 84810 0 0 0 0 0 0 0 
_1.ptx 130 : 7692 296569 0 0 0 7602 3143 0 0 
_1.ptx 132 : 7692 46566 0 0 0 0 0 0 0 
_1.ptx 133 : 7692 230704 0 0 0 0 0 0 0 
_1.ptx 134 : 7692 169924 32 0 0 3143 3143 0 0 
_1.ptx 135 : 7692 342580 0 0 0 4471 3143 0 0 
_1.ptx 136 : 7692 326114 0 0 0 4471 3143 0 0 
_1.ptx 137 : 7692 85046 0 0 0 0 0 0 0 
_1.ptx 140 : 24576 247173 0 0 0 0 0 0 0 
_1.ptx 141 : 24576 247415 0 0 0 0 0 0 0 
_1.ptx 142 : 24576 198340 0 0 0 0 0 0 0 
_1.ptx 143 : 24576 123868 0 0 0 0 0 0 1791 
_1.ptx 147 : 32768 196960 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 196608 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 413696 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 196608 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 360896 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 5173248 128 0 0 0 0 0 0 
_1.ptx 71 : 32768 262144 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 241664 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 98304 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 364192 0 0 0 0 0 0 0 
_1.ptx 76 : 32768 5339264 4096 0 0 1024 1024 0 0 
_1.ptx 77 : 32768 196608 0 0 0 0 0 0 0 
_1.ptx 78 : 32768 262144 0 0 0 0 0 0 0 
_1.ptx 79 : 32768 172215 0 0 0 0 0 0 550 
_1.ptx 81 : 4096 25081 0 0 0 0 0 0 0 
_1.ptx 82 : 4096 21017 0 0 0 550 550 0 0 
_1.ptx 84 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 85 : 4096 24588 0 0 0 0 0 0 0 
_1.ptx 86 : 4096 45193 0 0 0 0 0 0 0 
_1.ptx 87 : 4096 20850 32 0 0 550 550 0 0 
_1.ptx 89 : 4096 17245 0 0 0 0 0 0 0 
_1.ptx 90 : 4096 41719 0 0 0 0 0 0 0 
_1.ptx 91 : 4096 45478 0 0 0 0 0 0 0 
_1.ptx 92 : 4096 1073147 32768 0 0 943 550 0 0 
_1.ptx 93 : 4096 28812 0 0 0 0 0 0 0 
_1.ptx 94 : 4096 23200 0 0 0 943 550 0 0 
_1.ptx 95 : 4096 45151 0 0 0 0 0 0 0 
_1.ptx 96 : 4096 32824 0 0 0 0 0 0 0 
